City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
204,Paamiut,GL,61.994,-49.6678,28.62,85,93,5.3,overcast clouds
205,Bud,US,39.447,-86.1758,36.0,54,0,11.27,clear sky
206,Polovinnoye,RU,54.7914,65.9864,1.11,93,99,14.2,overcast clouds
207,Lusambo,CD,-4.9667,23.45,73.31,85,100,1.83,overcast clouds
208,Tasiilaq,GL,65.6145,-37.6368,10.4,72,20,3.44,few clouds
209,Mogadishu,SO,2.0371,45.3438,79.12,81,100,21.9,overcast clouds
210,Puerto Quijarro,BO,-17.7833,-57.7667,92.05,46,88,2.19,light rain
211,Bohdan,UA,48.0412,24.3522,32.31,94,96,4.43,light snow
212,Lebu,CL,-37.6167,-73.65,63.91,69,0,21.07,clear sky
213,Barentu,ER,15.1139,37.5928,57.56,96,0,3.24,clear sky
214,Kutum,SD,14.2,24.6667,51.55,40,0,15.21,clear sky
215,Firozpur,IN,30.9167,74.6,53.6,82,0,8.05,smoke
216,Sinnamary,GF,5.3833,-52.95,80.55,73,79,10.04,broken clouds
217,Niamey,NE,13.5137,2.1098,78.8,12,0,4.61,clear sky
218,Conneaut,US,41.9476,-80.5542,24.01,63,90,14.97,overcast clouds
219,Tripoli,LY,32.8752,13.1875,58.23,49,0,8.19,clear sky
220,Salalah,OM,17.0151,54.0924,71.6,35,0,3.44,clear sky
221,Agirish,RU,61.9247,63.0231,-0.78,93,100,4.61,light snow
222,Taltal,CL,-25.4,-70.4833,70.92,58,22,7.76,few clouds
223,Ostersund,SE,63.1792,14.6357,23.0,100,90,13.8,snow
224,Saint George,US,37.1041,-113.5841,55.4,38,1,8.05,clear sky
225,Gnjilane,XK,42.4604,21.4699,35.01,74,75,1.74,broken clouds
226,Opuwo,NA,-18.0607,13.84,70.95,58,100,12.01,overcast clouds
227,Aswan,EG,24.0934,32.907,54.39,41,0,15.03,clear sky
228,Quatre Cocos,MU,-20.2078,57.7625,81.0,94,40,4.61,moderate rain
229,Sao Filipe,CV,14.8961,-24.4956,72.01,70,82,7.96,broken clouds
230,Korycany,CZ,49.1064,17.1643,37.99,81,0,5.75,clear sky
231,Puerto El Triunfo,SV,13.2833,-88.55,96.8,32,20,5.75,few clouds
232,Sharlyk,RU,52.9167,54.75,-5.08,91,99,6.17,overcast clouds
233,Padang,ID,-0.9492,100.3543,73.4,88,90,2.3,overcast clouds
234,Bengkulu,ID,-3.8004,102.2655,77.07,80,100,5.26,overcast clouds
235,Fuengirola,ES,36.54,-4.6247,55.4,94,40,2.3,scattered clouds
236,Briancon,FR,44.9,6.65,36.0,53,92,1.01,overcast clouds
237,Buena Vista,US,43.4203,-83.8986,25.0,74,90,12.66,overcast clouds
238,Saint Stephen,GB,50.3333,-4.9,41.0,93,90,24.16,drizzle
239,Mahon,ES,39.8885,4.2658,55.4,82,75,13.8,broken clouds
240,Chake Chake,TZ,-5.2459,39.7666,79.68,77,100,12.53,overcast clouds
241,Velikodvorskiy,RU,55.25,40.6678,10.11,96,98,6.91,overcast clouds
242,Abapo,BO,-18.8333,-63.4667,87.94,26,27,8.16,scattered clouds
243,Andenes,NO,69.3143,16.1194,25.0,80,75,21.85,light snow
244,Muromtsevo,RU,56.3724,75.2418,-4.27,91,100,10.67,light snow
245,Nuuk,GL,64.1835,-51.7216,26.6,86,20,6.91,few clouds
246,Yarada,IN,17.65,83.2667,69.8,100,0,2.3,mist
247,Funtua,NG,11.5233,7.3081,66.56,25,0,10.69,clear sky
248,Senneterre,CA,48.3835,-77.2328,-0.4,71,20,9.22,few clouds
249,Saint-Joseph,RE,-21.3667,55.6167,82.4,69,90,3.44,overcast clouds
250,Umea,SE,63.8284,20.2597,17.6,100,90,4.61,overcast clouds
251,Nara,JP,34.6851,135.8049,34.0,93,0,3.44,clear sky
252,Saint-Augustin,CA,51.226,-58.6502,11.19,86,100,14.97,overcast clouds
253,Zhezkazgan,KZ,47.8043,67.7144,13.6,93,100,3.91,overcast clouds
254,Beyneu,KZ,45.3167,55.2,24.8,85,100,5.55,overcast clouds
255,Jacqueville,CI,5.2052,-4.4146,80.6,83,40,4.61,scattered clouds
256,Hambantota,LK,6.1241,81.1185,77.25,87,2,8.59,clear sky
257,Grootfontein,NA,-19.5667,18.1167,66.2,100,100,3.44,moderate rain
258,Tocopilla,CL,-22.092,-70.1979,73.53,51,25,9.01,scattered clouds
259,Pathanamthitta,IN,9.2667,76.7833,73.71,85,0,1.61,clear sky
260,Chingirlau,KZ,51.095,54.0814,-3.23,93,52,5.01,broken clouds
261,Luanda,AO,-8.8368,13.2343,78.8,78,40,10.36,scattered clouds
262,Poshekhonye,RU,58.4993,39.1353,10.71,96,99,6.22,overcast clouds
263,La Asuncion,VE,11.0333,-63.8628,79.5,71,100,14.65,overcast clouds
264,Puerto Ayora,EC,-0.7393,-90.3518,86.0,62,20,11.5,light rain
265,Ocala,US,29.1872,-82.1401,73.0,24,1,4.61,clear sky
266,Pitimbu,BR,-7.4706,-34.8086,82.4,74,75,11.5,broken clouds
267,Ambilobe,MG,-13.2,49.05,74.1,93,99,0.83,light rain
268,Guanica,PR,17.9716,-66.908,82.99,59,100,5.01,overcast clouds
269,Alice Town,BS,25.7167,-79.3,70.11,61,10,14.61,clear sky
270,Rocha,UY,-34.4833,-54.3333,79.36,48,0,12.44,clear sky
271,Ciudad Bolivar,VE,8.1222,-63.5497,90.72,36,55,8.81,broken clouds
272,Krasnoselkup,RU,65.7,82.4667,-38.04,82,0,2.26,clear sky
273,Ostrovnoy,RU,68.0531,39.5131,12.38,92,100,10.76,overcast clouds
274,Caravelas,BR,-17.7125,-39.2481,80.69,65,0,7.47,clear sky
275,Shelburne,CA,44.0787,-80.2041,21.0,78,100,7.72,overcast clouds
276,Kemijarvi,FI,66.7131,27.4306,7.84,94,100,6.17,overcast clouds
277,Malko Tarnovo,BG,41.9833,27.5333,33.8,75,0,8.05,clear sky
278,Umm Kaddadah,SD,13.6017,26.6876,59.65,31,0,17.18,clear sky
279,Trinidad,BO,-14.8333,-64.9,87.8,55,75,6.91,broken clouds
280,Iquitos,PE,-3.7481,-73.2472,84.2,74,75,3.44,broken clouds
281,Viedma,AR,-40.8135,-62.9967,92.1,26,0,19.3,clear sky
282,Klaksvik,FO,62.2266,-6.589,37.4,75,20,28.77,few clouds
283,Korla,CN,41.7597,86.1469,20.41,84,0,2.35,clear sky
284,Kushmurun,KZ,52.4503,64.6311,-6.48,89,0,11.45,clear sky
285,Cheremukhovo,RU,60.3484,59.9851,-2.49,93,100,1.16,light snow
286,Bathsheba,BB,13.2167,-59.5167,77.0,78,40,16.11,scattered clouds
287,Aktash,RU,50.3,87.7333,9.55,92,100,5.08,overcast clouds
288,Vestmannaeyjar,IS,63.4427,-20.2734,29.95,87,99,19.35,overcast clouds
289,Muscat,OM,23.6139,58.5922,66.2,77,0,2.55,clear sky
290,Tabuk,PH,17.4189,121.4443,72.07,93,100,3.02,moderate rain
291,Gidole,ET,5.65,37.3667,65.21,37,90,1.63,overcast clouds
292,Kourou,GF,5.1552,-52.6478,82.4,74,75,10.36,broken clouds
293,Muros,ES,42.7762,-9.0603,55.99,88,61,7.0,broken clouds
294,Grindavik,IS,63.8424,-22.4338,28.4,74,75,25.32,broken clouds
295,Berlevag,NO,70.8578,29.0864,21.2,79,75,16.11,light snow
296,Skole,UA,49.0372,23.5135,36.0,81,81,13.0,broken clouds
297,Bara,NG,10.3744,10.7288,72.27,24,0,9.73,clear sky
298,Matagami,CA,49.7502,-77.6328,-2.2,65,1,9.22,clear sky
299,Trelew,AR,-43.249,-65.3051,95.76,13,0,12.55,clear sky
300,Ishim,RU,56.1128,69.4902,6.04,94,100,13.58,overcast clouds
301,Nouadhibou,MR,20.931,-17.0347,68.0,40,100,14.97,overcast clouds
302,Abu Samrah,SY,35.3029,37.1841,37.62,75,0,8.34,clear sky
303,Wageningen,NL,51.9667,5.6667,51.01,66,90,16.11,overcast clouds
304,Abu Kamal,SY,34.4506,40.9171,43.05,63,0,23.38,clear sky
305,Itarema,BR,-2.9248,-39.9167,82.09,71,98,14.97,overcast clouds
306,Zychlin,PL,52.244,19.6261,37.99,75,0,4.61,clear sky
307,Brae,GB,60.3964,-1.353,41.0,70,75,31.07,broken clouds
308,Saint-Georges,GD,12.0564,-61.7485,82.4,69,20,17.27,few clouds
309,Coruripe,BR,-10.1256,-36.1756,80.38,70,100,13.73,overcast clouds
310,Porbandar,IN,21.6422,69.6093,64.76,52,0,7.18,clear sky
311,Alta Floresta,BR,-9.8756,-56.0861,79.7,90,95,1.45,overcast clouds
312,Geraldton,AU,-28.7667,114.6,75.2,78,90,17.27,overcast clouds
313,Sicuani,PE,-14.2694,-71.2261,56.25,60,86,2.8,light rain
314,Zabid,YE,14.1951,43.3152,77.56,57,0,4.14,clear sky
315,Kharan,PK,28.5833,65.4167,56.93,36,0,2.64,clear sky
316,Hobyo,SO,5.3505,48.5268,78.21,81,100,21.79,overcast clouds
317,Pskov,RU,57.8136,28.3496,15.8,79,75,8.95,broken clouds
318,Meulaboh,ID,4.1363,96.1285,76.1,89,99,4.18,overcast clouds
319,Humenne,SK,48.9371,21.9163,30.0,92,100,4.0,overcast clouds
320,Qandala,SO,11.472,49.8728,73.04,68,11,2.26,few clouds
321,Lima,PE,-12.0432,-77.0282,78.01,69,0,12.66,clear sky
322,Lieksa,FI,63.3167,30.0167,13.59,96,100,10.16,light snow
323,Gornopravdinsk,RU,60.05,69.9,-6.21,91,100,9.8,light snow
324,Sayyan,YE,15.1718,44.3244,47.97,46,0,0.92,clear sky
325,Canchungo,GW,12.0672,-16.0333,80.6,44,81,2.3,broken clouds
326,Oudtshoorn,ZA,-33.5907,22.2014,64.4,88,90,10.36,overcast clouds
327,Zaqatala,AZ,41.6336,46.6433,28.4,79,98,1.97,overcast clouds
328,Salinopolis,BR,-0.6136,-47.3561,79.74,82,100,7.43,light rain
329,Doka,SD,13.5167,35.7667,73.38,49,0,15.01,clear sky
330,Kasrawad,IN,22.1333,75.6,66.96,34,0,4.5,clear sky
331,Sortland,NO,68.6949,15.4162,24.8,63,75,12.66,light snow
332,Abonnema,NG,4.7084,6.7931,73.4,78,9,8.5,haze
333,Quelimane,MZ,-17.8786,36.8883,86.0,79,20,5.75,few clouds
334,Pinheiro Machado,BR,-31.5783,-53.3811,73.99,62,0,21.0,clear sky
335,Nouakchott,MR,18.0858,-15.9785,77.0,9,100,9.22,overcast clouds
336,Pisco,PE,-13.7,-76.2167,77.0,65,0,21.85,clear sky
337,Visby,SE,57.6409,18.296,39.99,93,90,11.5,overcast clouds
338,Honningsvag,NO,70.9821,25.9704,23.0,58,40,12.66,light snow
339,Tyumentsevo,RU,53.3224,81.498,9.09,96,100,6.49,light snow
340,Koster,ZA,-25.863,26.8976,75.31,44,92,8.34,overcast clouds
341,Kanye,BW,-24.9667,25.3327,74.39,35,88,2.46,overcast clouds
342,Kabinda,CD,-6.1333,24.4833,68.65,93,100,1.52,overcast clouds
343,Butzow,DE,53.85,11.9833,48.0,70,75,11.5,light rain
344,Bogandinskiy,RU,56.8937,65.8938,-0.4,85,90,2.55,light snow
345,Talnakh,RU,69.4865,88.3972,-38.25,80,88,0.96,overcast clouds
346,Sao Domingos Do Prata,BR,-19.865,-42.9683,78.33,67,3,4.27,clear sky
