City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
183,Nguruka,TZ,2021-01-19 22:18:23,-5.1092,31.0419,66.06,91,97,2.8
184,Westport,US,2021-01-19 22:18:23,41.1415,-73.3579,39.2,48,90,9.22
185,Saint George,US,2021-01-19 22:18:23,37.1041,-113.5841,55.99,26,20,12.66
186,Bonito,BR,2021-01-19 22:18:23,-21.1211,-56.4819,72.59,97,100,2.98
187,Sakakah,SA,2021-01-19 22:17:37,29.9697,40.2064,48.2,49,0,6.91
188,Kisii,KE,2021-01-19 22:18:24,-0.6817,34.7667,59.74,88,32,3.49
189,Den Helder,NL,2021-01-19 22:15:22,52.9599,4.7593,48.0,87,90,31.07
190,Gibara,CU,2021-01-19 22:18:24,21.1097,-76.1317,75.2,83,75,14.97
191,Margate,GB,2021-01-19 22:15:21,51.3813,1.3862,48.99,81,100,8.99
192,Tandil,AR,2021-01-19 22:18:24,-37.3217,-59.1332,89.01,25,0,3.0
193,Faya,SA,2021-01-19 22:18:24,18.3851,42.4509,55.4,94,0,8.05
194,Richards Bay,ZA,2021-01-19 22:16:05,-28.783,32.0377,74.12,72,5,13.18
195,Zhezkazgan,KZ,2021-01-19 22:18:24,47.8043,67.7144,28.33,99,100,8.81
196,Hobyo,SO,2021-01-19 22:18:25,5.3505,48.5268,77.11,78,64,18.41
197,Saint-Georges,GD,2021-01-19 22:17:58,12.0564,-61.7485,78.8,78,20,17.27
198,Honningsvag,NO,2021-01-19 22:18:25,70.9821,25.9704,23.0,93,90,9.22
199,Grindavik,IS,2021-01-19 22:18:25,63.8424,-22.4338,33.8,75,20,28.77
200,Kalmar,SE,2021-01-19 22:18:25,56.6616,16.3616,36.0,100,90,10.36
201,Codrington,AU,2021-01-19 22:18:25,-38.2667,141.9667,55.51,69,2,5.84
202,El Cope,PA,2021-01-19 22:18:25,8.6167,-80.6,87.8,55,20,13.8
203,Knysna,ZA,2021-01-19 22:18:26,-34.0363,23.0471,64.4,88,90,3.44
204,Dwarka,IN,2021-01-19 22:18:26,22.2394,68.9678,68.56,55,0,12.44
205,Olafsvik,IS,2021-01-19 22:18:26,64.8945,-23.7142,33.01,90,91,38.27
206,Porto Novo,BJ,2021-01-19 22:18:26,6.4965,2.6036,82.4,89,40,11.5
207,Kati,ML,2021-01-19 22:18:26,12.7441,-8.0726,73.4,21,0,3.44
208,Diffa,NE,2021-01-19 22:18:26,13.3154,12.6113,67.15,27,0,13.02
209,Castro,BR,2021-01-19 22:18:27,-24.7911,-50.0119,64.63,97,100,8.12
210,Pisco,PE,2021-01-19 22:18:27,-13.7,-76.2167,75.2,69,0,24.16
211,Cocobeach,GA,2021-01-19 22:18:27,1.0002,9.5823,80.6,83,20,3.44
212,Mardin,TR,2021-01-19 22:14:31,37.3131,40.7436,34.39,100,80,1.05
213,Deer Lake,CA,2021-01-19 22:18:27,49.1667,-57.4316,26.6,74,75,6.91
214,San Andres,CO,2021-01-19 22:18:27,12.5847,-81.7006,84.2,70,20,18.41
215,Vradiyivka,UA,2021-01-19 22:18:28,47.862,30.5919,10.02,89,0,3.22
216,Aquidauana,BR,2021-01-19 22:18:28,-20.4711,-55.7872,74.17,96,100,2.26
217,Balkhash,KZ,2021-01-19 22:18:28,46.844,74.9804,17.58,94,99,2.8
218,Morondava,MG,2021-01-19 22:18:28,-20.2833,44.2833,82.83,76,100,7.74
219,Letterkenny,IE,2021-01-19 22:18:28,54.95,-7.7333,41.22,94,100,1.9
220,Gijon,ES,2021-01-19 22:14:19,43.5357,-5.6615,53.6,47,0,4.61
221,Beloha,MG,2021-01-19 22:18:28,-25.1667,45.05,74.75,82,71,11.56
222,Ostrovnoy,RU,2021-01-19 22:18:29,68.0531,39.5131,15.42,96,100,24.23
223,Tando Adam,PK,2021-01-19 22:18:29,25.7637,68.661,44.6,87,0,4.97
224,Grand Gaube,MU,2021-01-19 22:18:29,-20.0064,57.6608,80.01,87,36,8.12
225,La Libertad,EC,2021-01-19 22:18:29,-2.2333,-80.9,82.4,74,0,4.61
226,Nouadhibou,MR,2021-01-19 22:18:29,20.931,-17.0347,62.6,63,99,17.27
227,Letka,RU,2021-01-19 22:18:29,59.6011,49.4232,-7.83,91,88,2.71
228,Sorland,NO,2021-01-19 22:18:30,67.667,12.6934,34.05,84,65,17.13
229,Risod,IN,2021-01-19 22:18:30,19.9667,76.7833,68.74,50,0,6.49
230,Mbini,GQ,2021-01-19 22:18:30,1.574,9.6134,78.8,89,40,7.25
231,Pervomayskoye,RU,2021-01-19 22:18:30,43.919,46.7102,26.53,90,0,4.72
232,Omboue,GA,2021-01-19 22:18:30,-1.5746,9.2618,78.58,80,100,3.29
233,Dingle,PH,2021-01-19 22:18:30,10.9995,122.6711,72.57,92,99,4.52
234,Ampanihy,MG,2021-01-19 22:17:10,-24.7,44.75,75.72,79,99,12.19
235,Crestview,US,2021-01-19 22:18:31,30.7621,-86.5705,64.99,48,1,11.5
236,Bambous Virieux,MU,2021-01-19 22:18:31,-20.3428,57.7575,80.01,89,40,1.14
237,Mogadouro,PT,2021-01-19 22:18:31,41.3403,-6.7119,44.01,80,100,11.99
238,Orbetello,IT,2021-01-19 22:18:31,42.4408,11.2196,42.01,93,0,4.61
239,New Richmond,US,2021-01-19 22:18:31,45.123,-92.5366,12.2,67,90,12.66
240,Mantua,IT,2021-01-19 22:18:31,45.1667,10.7833,32.0,100,75,1.14
241,Saint-Augustin,CA,2021-01-19 22:18:31,51.226,-58.6502,18.23,90,7,15.3
242,San Luis,AR,2021-01-19 22:17:02,-33.295,-66.3356,87.76,18,0,2.64
243,Ciudad Bolivar,VE,2021-01-19 22:18:32,8.1222,-63.5497,83.79,59,97,11.36
244,Pangnirtung,CA,2021-01-19 22:18:32,66.1451,-65.7125,33.8,60,75,20.71
245,Iguape,BR,2021-01-19 22:18:32,-24.7081,-47.5553,74.93,92,100,10.29
246,Rawson,AR,2021-01-19 22:18:32,-43.3002,-65.1023,77.31,40,21,18.99
247,Ogbomosho,NG,2021-01-19 22:18:32,8.133,4.25,78.12,25,13,1.57
248,Boke,GN,2021-01-19 22:18:33,10.9409,-14.2967,71.06,55,57,2.55
249,Minsk,BY,2021-01-19 22:14:00,53.9,27.5667,10.4,92,75,4.47
250,Cozumel,MX,2021-01-19 22:18:33,20.5083,-86.9458,80.6,74,40,11.5
251,Saint-Joseph,RE,2021-01-19 22:18:33,-21.3667,55.6167,82.4,69,0,4.61
252,Somvarpet,IN,2021-01-19 22:18:33,12.6,75.8667,60.8,83,2,4.85
253,Aviles,ES,2021-01-19 22:16:29,43.5547,-5.9248,51.8,54,0,5.75
254,Masvingo,ZW,2021-01-19 22:16:27,-20.0637,30.8277,64.04,94,100,1.19
255,Rio Gallegos,AR,2021-01-19 22:18:34,-51.6226,-69.2181,62.6,45,20,34.52
256,Praia Da Vitoria,PT,2021-01-19 22:18:34,38.7333,-27.0667,59.0,77,40,15.17
257,Damaturu,NG,2021-01-19 22:18:34,11.747,11.9608,66.16,26,0,9.26
258,Iskateley,RU,2021-01-19 22:18:34,67.6803,53.1512,-8.91,90,100,13.24
259,Ust-Tsilma,RU,2021-01-19 22:18:34,65.441,52.1498,4.39,94,100,5.91
260,Casma,CL,2021-01-19 22:18:34,-41.0082,-73.1244,78.8,56,0,13.8
261,Jamtara,IN,2021-01-19 22:18:35,23.95,86.8,62.98,47,60,4.97
262,Sao Miguel Do Araguaia,BR,2021-01-19 22:18:35,-13.275,-50.1628,76.93,76,99,0.78
263,Esik,KZ,2021-01-19 22:18:35,43.3552,77.4525,44.6,53,90,8.95
264,Raga,SS,2021-01-19 22:18:35,8.4596,25.678,68.34,24,0,5.68
265,Chiredzi,ZW,2021-01-19 22:18:35,-21.05,31.6667,68.02,97,100,4.09
266,Waddan,LY,2021-01-19 22:18:35,29.1614,16.139,50.49,69,35,8.93
267,Lafia,NG,2021-01-19 22:18:35,8.4833,8.5167,78.44,17,19,5.41
268,Lons,FR,2021-01-19 22:18:36,43.3167,-0.4,42.8,75,0,6.91
269,Acari,PE,2021-01-19 22:18:36,-15.4311,-74.6158,79.54,53,5,8.28
270,Mbandaka,CD,2021-01-19 22:18:36,0.0487,18.2603,74.39,84,12,5.39
271,Sao Joao Da Barra,BR,2021-01-19 22:18:36,-21.6403,-41.0511,82.4,61,0,18.41
272,Gat,IL,2021-01-19 22:18:36,31.61,34.7642,52.0,100,100,3.0
273,Dasoguz,TM,2021-01-19 22:18:36,41.8363,59.9666,37.4,81,90,2.3
274,Lukulu,ZM,2021-01-19 22:18:36,-14.3707,23.242,67.86,93,100,4.27
275,Cap Malheureux,MU,2021-01-19 22:18:36,-19.9842,57.6142,80.01,87,62,9.4
276,Willowmore,ZA,2021-01-19 22:18:37,-33.2926,23.4895,63.1,64,49,8.99
277,Sept-Iles,CA,2021-01-19 22:18:37,50.2001,-66.3821,8.6,61,20,11.5
278,Znamenskoye,RU,2021-01-19 22:18:37,57.1281,73.8282,-22.5,86,4,1.16
279,Bosaso,SO,2021-01-19 22:18:37,11.2842,49.1816,72.48,68,16,3.51
280,Soyo,AO,2021-01-19 22:18:37,-6.1349,12.3689,80.04,79,78,6.8
281,Lunel,FR,2021-01-19 22:18:37,43.6778,4.1361,44.6,65,90,12.66
282,Bengkulu,ID,2021-01-19 22:18:37,-3.8004,102.2655,75.25,83,30,5.23
283,Taloda,IN,2021-01-19 22:18:38,21.5667,74.2167,70.18,31,0,3.31
284,Talas,TR,2021-01-19 22:18:38,38.6908,35.5538,14.0,85,0,2.3
